title,author,description
Animal Farm,George Orwell,"Old Major, the old boar on the Manor Farm, calls the animals on the farm for a meeting, where he compares the humans to parasites and teaches the animals a revolutionary song, 'Beasts of England'."
A Clockwork Orange,Anthony Burgess,"Alex, a teenager living in near-future England, leads his gang on nightly orgies of opportunistic, random ""ultra-violence."
The Plague,Albert Camus,The text of The Plague is divided into five parts.
An Enquiry Concerning Human Understanding,David Hume,"The argument of the Enquiry proceeds by a series of incremental steps, separated into chapters which logically succeed one another."
A Fire Upon the Deep,Vernor Vinge,"The novel posits that space around the Milky Way is divided into concentric layers called Zones, each being constrained by different laws of physics and each allowing for different degrees of biological and technological advancement."
All Quiet on the Western Front,Erich Maria Remarque,"The book tells the story of Paul Bäumer, a German soldier who—urged on by his school teacher—joins the German army shortly after the start of World War I."
A Wizard of Earthsea,Ursula K. Le Guin,"Ged is a young boy on Gont, one of the larger islands in the north of the archipelago of Earthsea."
Anyone Can Whistle,Arthur Laurents,The story is set in an imaginary American town that has gone bankrupt.
Blade Runner 3: Replicant Night,K. W. Jeter,"Living on Mars, Deckard is acting as a consultant to a movie crew filming the story of his Blade Runner days."
Blade Runner 2: The Edge of Human,K. W. Jeter,"Beginning several months after the events in Blade Runner, Deckard has retired to an isolated shack outside the city, taking the replicant Rachael with him in a Tyrell transport container, which slows down the replicant aging process."
Crash,J. G. Ballard,"The story is told through the eyes of narrator James Ballard, named after the author himself, but it centers on the sinister figure of Dr."
Children of Dune,Frank Herbert,"Nine years after Emperor Paul Muad'dib walked into the desert, blind, the ecological transformation of Dune has reached the point where some Fremen are living without stillsuits in the less arid climate and have started to move out of the Sietches and into the villages and cities."
"Candide, ou l'Optimisme",Voltaire,"Candide contains thirty episodic chapters, which may be grouped into two main schemes: one consists of two divisions, separated by the protagonist's hiatus in El Dorado; the other consists of three parts, each defined by its geographical setting."
Chapterhouse Dune,Frank Herbert,"The situation is desperate for the Bene Gesserit as they find themselves the targets of the Honored Matres, whose conquest of the Old Empire is almost complete."
Carmilla,Sheridan Le Fanu,"The story is presented by Le Fanu as part of the casebook of Dr Hesselius, whose departures from medical orthodoxy rank him as the first occult doctor in literature."
The Cider House Rules,John Irving,"Homer Wells grows up in an orphanage where he spends his childhood ""being of use"" as a medical assistant to the director, Dr."
Dracula,Bram Stoker,"The novel is told in epistolary format, as a series of letters, diary entries, ships' log entries, and so forth."
Don Quixote,Miguel de Cervantes,"The First Sally Alonso Quijano, the protagonist of the novel, is a retired country gentleman nearing fifty years of age, living in an unnamed section of La Mancha with his niece and housekeeper."
Dune Messiah,Frank Herbert,"Twelve years after the events described in Dune (1965), Paul ""Muad'Dib"" Atreides rules as Emperor."
Darwin's Dangerous Idea,Daniel Dennett,"""Starting in the Middle"", Part I of Darwin's Dangerous Idea, gets its name from a quote by Willard Van Orman Quine: ""Analyze theory-building how we will, we all must start in the middle."
Death of a Hero,Richard Aldington,Death of a Hero is the story of a young English artist named George Winterbourne who enlists in the army at the outbreak of World War I.
The Trial,Franz Kafka,"On his thirtieth birthday, the chief financial officer of a bank, Josef K."
Fahrenheit 451,Ray Bradbury,"On a rainy night while returning from his job, Guy Montag is followed by a cheery, 17-year-old girl named Clarisse McClellan."
Farmer Giles of Ham,J. R. R. Tolkien,"Farmer Giles (Ægidius Ahenobarbus Julius Agricola de Hammo, ""Giles Bronze-beard Julius Farmer of Ham"") is not a hero."
Gaudy Night,Dorothy L. Sayers,Harriet Vane returns reluctantly to Oxford to attend the Gaudy dinner.
Gylfaginning,Snorri Sturluson,"The Gylfaginning tells the story of Gylfi, a king of ""the land that men now call Sweden"", who after being tricked by one of the goddesses of the Æsir, wonders if all Æsir use magic and tricks for their will to be done."
God Emperor of Dune,Frank Herbert,"The seemingly immortal God Emperor Leto II has ruled his Empire for more than 3,500 years, his lifespan lengthened due to his decision in Children of Dune to merge his human body with sandtrout, the haploid phase of the giant sandworms of Arrakis."
Gone with the Wind,Margaret Mitchell,Gone with the Wind takes place in the southern United States in the state of Georgia during the American Civil War (1861–1865) and the Reconstruction Era (1865–1877) that followed the war.
Heart of Darkness,Joseph Conrad,"'Heart of Darkness' opens in first person narrative; our narrator establishes the setting aboard a sailboat, ""The Nellie, a cruising yawl,"" anchored in the Thames River near Gravesend (England)."
Hamlet,William Shakespeare,"The protagonist of Hamlet is Prince Hamlet of Denmark, son of deceased King Hamlet and his wife, Queen Gertrude."
Heretics of Dune,Frank Herbert,Much has changed in the millennium and a half since the death of the God Emperor.
Adventures of Huckleberry Finn,Mark Twain,The story begins in fictional St.
Ivanhoe,Walter Scott,"Wilfred of Ivanhoe is disinherited by his father Cedric of Rotherwood for supporting the Norman King Richard and for falling in love with the Lady Rowena, Cedric's ward and a descendant of the Saxon Kings of England."
Johnny Got His Gun,Dalton Trumbo,"Joe Bonham, a young soldier serving in World War I, awakens in a hospital bed after being caught in the blast of an exploding artillery shell."
Icehenge,Kim Stanley Robinson,"Icehenge is part mystery, part psychological drama, and is set in three distinct time periods."
Leaf by Niggle,J. R. R. Tolkien,"In this story, an artist, named Niggle, lives in a society that does not much value art."
Macbeth,William Shakespeare,"The play opens amidst thunder and lightning, and the Three Witches decide that their next meeting shall be with Macbeth."
Microserfs,Douglas Coupland,"The plot of the novel has two distinct movements: the events at Microsoft and in Redmond, Washington, and the movement to Silicon Valley and the ""Oop!"
"Moby-Dick; or, The Whale",Herman Melville,"""Moby-Dick"" begins with the line ""Call me Ishmael."
Moonfleet,J. Meade Falkner,"In 1757, Moonfleet is a small village near the sea in the south of England."
Neuromancer,William Gibson,"Henry Dorsett Case is a low-level hustler in the dystopian underworld of Chiba City, Japan."
Cryptonomicon,Neal Stephenson,"The action takes place in two periods: the Second World War and the late 1990s, during the Internet boom."
No Logo,Naomi Klein,"The book comprises four sections: ""No Space"", ""No Choice"", ""No Jobs"", and ""No Logo""."
Odyssey,Nextext,"The Odyssey begins ten years after the end of the ten-year Trojan War that is the subject of the Iliad, and Odysseus has still not returned home from the war."
Othello,William Shakespeare,"The play opens with Roderigo, a rich and dissolute gentleman, complaining to Iago, a high-ranking soldier, that Iago has not told him about the secret marriage between Desdemona, the daughter of a Senator named Brabantio, and Othello, a Moorish general in the Venetian army."
On War,Carl von Clausewitz,The book contains a wealth of historical examples used to illustrate its various concepts.
The Three Stigmata of Palmer Eldritch,Philip K. Dick,The story begins in a future world where global warming has resulted in global temperatures so high that in most of the world it is unsafe to be outside without special cooling gear during daylight hours.
Time out of Joint,Philip K. Dick,"As the novel opens, its protagonist Ragle Gumm believes that he lives in the year 1959 in a quiet American suburb."
A Scanner Darkly,Philip K. Dick,"The protagonist is Bob Arctor, member of a household of drug-users, who is also living a parallel life as Agent Fred, an undercover police agent assigned to spy on Arctor's household."
